CBSA_Code,CBSA_Title,CBSA_Type,County,State,FIPS_State,FIPS_County
10100,"Aberdeen, SD",Micropolitan Statistical Area,Brown County,South Dakota,46,13
10100,"Aberdeen, SD",Micropolitan Statistical Area,Edmunds County,South Dakota,46,45
10140,"Aberdeen, WA",Micropolitan Statistical Area,Grays Harbor County,Washington,53,27
10180,"Abilene, TX",Metropolitan Statistical Area,Callahan County,Texas,48,59
10180,"Abilene, TX",Metropolitan Statistical Area,Jones County,Texas,48,253
10180,"Abilene, TX",Metropolitan Statistical Area,Taylor County,Texas,48,441
10220,"Ada, OK",Micropolitan Statistical Area,Pontotoc County,Oklahoma,40,123
10300,"Adrian, MI",Micropolitan Statistical Area,Lenawee County,Michigan,26,91
10380,"Aguadilla, PR",Metropolitan Statistical Area,Aguada Municipio,Puerto Rico,72,3
10380,"Aguadilla, PR",Metropolitan Statistical Area,Aguadilla Municipio,Puerto Rico,72,5
10380,"Aguadilla, PR",Metropolitan Statistical Area,Añasco Municipio,Puerto Rico,72,11
10380,"Aguadilla, PR",Metropolitan Statistical Area,Isabela Municipio,Puerto Rico,72,71
10380,"Aguadilla, PR",Metropolitan Statistical Area,Moca Municipio,Puerto Rico,72,99
10380,"Aguadilla, PR",Metropolitan Statistical Area,Rincón Municipio,Puerto Rico,72,117
10380,"Aguadilla, PR",Metropolitan Statistical Area,San Sebastián Municipio,Puerto Rico,72,131
10420,"Akron, OH",Metropolitan Statistical Area,Portage County,Ohio,39,133
10420,"Akron, OH",Metropolitan Statistical Area,Summit County,Ohio,39,153
10460,"Alamogordo, NM",Micropolitan Statistical Area,Otero County,New Mexico,35,35
10480,"Alamosa, CO",Micropolitan Statistical Area,Alamosa County,Colorado,8,3
10480,"Alamosa, CO",Micropolitan Statistical Area,Conejos County,Colorado,8,21
10480,"Alamosa, CO",Micropolitan Statistical Area,Costilla County,Colorado,8,23
10500,"Albany, GA",Metropolitan Statistical Area,Dougherty County,Georgia,13,95
10500,"Albany, GA",Metropolitan Statistical Area,Lee County,Georgia,13,177
10500,"Albany, GA",Metropolitan Statistical Area,Terrell County,Georgia,13,273
10500,"Albany, GA",Metropolitan Statistical Area,Worth County,Georgia,13,321
10540,"Albany, OR",Metropolitan Statistical Area,Linn County,Oregon,41,43
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Albany County,New York,36,1
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Rensselaer County,New York,36,83
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Saratoga County,New York,36,91
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Schenectady County,New York,36,93
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,Schoharie County,New York,36,95
10620,"Albemarle, NC",Micropolitan Statistical Area,Stanly County,North Carolina,37,167
10660,"Albert Lea, MN",Micropolitan Statistical Area,Freeborn County,Minnesota,27,47
10700,"Albertville, AL",Micropolitan Statistical Area,Marshall County,Alabama,1,95
10740,"Albuquerque, NM",Metropolitan Statistical Area,Bernalillo County,New Mexico,35,1
10740,"Albuquerque, NM",Metropolitan Statistical Area,Sandoval County,New Mexico,35,43
10740,"Albuquerque, NM",Metropolitan Statistical Area,Torrance County,New Mexico,35,57
10740,"Albuquerque, NM",Metropolitan Statistical Area,Valencia County,New Mexico,35,61
10760,"Alexander City, AL",Micropolitan Statistical Area,Tallapoosa County,Alabama,1,123
10780,"Alexandria, LA",Metropolitan Statistical Area,Grant Parish,Louisiana,22,43
10780,"Alexandria, LA",Metropolitan Statistical Area,Rapides Parish,Louisiana,22,79
10820,"Alexandria, MN",Micropolitan Statistical Area,Douglas County,Minnesota,27,41
10860,"Alice, TX",Micropolitan Statistical Area,Brooks County,Texas,48,47
10860,"Alice, TX",Micropolitan Statistical Area,Jim Wells County,Texas,48,249
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Warren County,New Jersey,34,41
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Carbon County,Pennsylvania,42,25
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Lehigh County,Pennsylvania,42,77
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,Northampton County,Pennsylvania,42,95
10940,"Alma, MI",Micropolitan Statistical Area,Gratiot County,Michigan,26,57
10980,"Alpena, MI",Micropolitan Statistical Area,Alpena County,Michigan,26,7
11020,"Altoona, PA",Metropolitan Statistical Area,Blair County,Pennsylvania,42,13
11060,"Altus, OK",Micropolitan Statistical Area,Jackson County,Oklahoma,40,65
11100,"Amarillo, TX",Metropolitan Statistical Area,Armstrong County,Texas,48,11
11100,"Amarillo, TX",Metropolitan Statistical Area,Carson County,Texas,48,65
11100,"Amarillo, TX",Metropolitan Statistical Area,Oldham County,Texas,48,359
11100,"Amarillo, TX",Metropolitan Statistical Area,Potter County,Texas,48,375
11100,"Amarillo, TX",Metropolitan Statistical Area,Randall County,Texas,48,381
11140,"Americus, GA",Micropolitan Statistical Area,Schley County,Georgia,13,249
11140,"Americus, GA",Micropolitan Statistical Area,Sumter County,Georgia,13,261
11180,"Ames, IA",Metropolitan Statistical Area,Boone County,Iowa,19,15
11180,"Ames, IA",Metropolitan Statistical Area,Story County,Iowa,19,169
