state,statefp,placefp,fips,placename,counties
AL,01,10240,0110240,Brundidge city,Pike County
AL,01,10456,0110456,Bucks CDP,Mobile County
AL,01,11032,0111032,Butler town,Choctaw County
AL,01,11416,0111416,Calera city,Chilton County~~~Shelby County
AL,01,11488,0111488,Calvert CDP,Mobile County~~~Washington County
AL,01,11512,0111512,Camden city,Wilcox County
AL,01,11680,0111680,Camp Hill town,Tallapoosa County
AL,01,12016,0112016,Carbon Hill city,Walker County
AL,01,12040,0112040,Cardiff town,Jefferson County
AL,01,12070,0112070,Carlisle-Rockledge CDP,Etowah County
AL,01,12112,0112112,Carlton CDP,Clarke County
AL,01,12160,0112160,Carolina town,Covington County
AL,01,12304,0112304,Carrollton town,Pickens County
AL,01,12496,0112496,Castleberry town,Conecuh County
AL,01,12544,0112544,Catherine CDP,Wilcox County
AL,01,12760,0112760,Cedar Bluff town,Cherokee County
AL,01,13264,0113264,Center Point city,Jefferson County
AL,01,13648,0113648,Centre city,Cherokee County
AL,01,13672,0113672,Centreville city,Bibb County
AL,01,14008,0114008,Chatom town,Washington County
AL,01,14104,0114104,Chelsea city,Shelby County
AL,01,14152,0114152,Cherokee town,Colbert County
AL,01,14392,0114392,Chickasaw city,Mobile County
AL,01,14464,0114464,Childersburg city,Talladega County
AL,01,14728,0114728,Choccolocco CDP,Calhoun County
AL,01,14968,0114968,Chunchula CDP,Mobile County
AL,01,15064,0115064,Citronelle city,Mobile County
AL,01,15136,0115136,Clanton city,Chilton County
AL,01,15256,0115256,Clay city,Jefferson County
AL,01,15304,0115304,Clayhatchee town,Dale County
AL,01,15376,0115376,Clayton town,Barbour County
AL,01,15472,0115472,Cleveland town,Blount County
AL,01,15640,0115640,Clio city,Barbour County
AL,01,16000,0116000,Coaling town,Tuscaloosa County
AL,01,16080,0116080,Coats Bend CDP,Etowah County
AL,01,16240,0116240,Coffee Springs town,Geneva County
AL,01,16264,0116264,Coffeeville town,Clarke County
AL,01,16312,0116312,Coker town,Tuscaloosa County
AL,01,16600,0116600,Collinsville town,Cherokee County~~~DeKalb County
AL,01,16684,0116684,Colony town,Cullman County
AL,01,16744,0116744,Columbia town,Houston County
AL,01,16768,0116768,Columbiana city,Shelby County
AL,01,16936,0116936,Concord CDP,Jefferson County
AL,01,17176,0117176,Coosada town,Elmore County
AL,01,17368,0117368,Cordova city,Walker County
AL,01,17704,0117704,Cottondale CDP,Tuscaloosa County
AL,01,17824,0117824,Cottonwood town,Houston County
AL,01,17968,0117968,County Line town,Blount County~~~Jefferson County
AL,01,18040,0118040,Courtland town,Lawrence County
AL,01,18088,0118088,Cowarts town,Houston County
AL,01,18304,0118304,Creola city,Mobile County
AL,01,18856,0118856,Crossville town,DeKalb County
AL,01,18952,0118952,Cuba town,Sumter County
AL,01,18976,0118976,Cullman city,Cullman County
AL,01,19024,0119024,Cullomburg CDP,Choctaw County~~~Washington County
AL,01,19216,0119216,Cusseta town,Chambers County
AL,01,19336,0119336,Dadeville city,Tallapoosa County
AL,01,19360,0119360,Daleville city,Dale County
AL,01,19648,0119648,Daphne city,Baldwin County
AL,01,19744,0119744,Dauphin Island town,Mobile County
AL,01,19816,0119816,Daviston town,Tallapoosa County
AL,01,19912,0119912,Dayton town,Marengo County
AL,01,20008,0120008,Deatsville town,Elmore County
AL,01,20104,0120104,Decatur city,Limestone County~~~Morgan County
AL,01,20152,0120152,Deer Park CDP,Washington County
AL,01,20272,0120272,Delta CDP,Clay County
AL,01,20296,0120296,Demopolis city,Marengo County
AL,01,20392,0120392,Detroit town,Lamar County
AL,01,20955,0120955,Dodge City town,Cullman County
AL,01,21136,0121136,Dora city,Walker County
AL,01,21184,0121184,Dothan city,Dale County~~~Henry County~~~Houston County
AL,01,21280,0121280,Double Springs town,Winston County
AL,01,21328,0121328,Douglas town,Marshall County
AL,01,21448,0121448,Dozier town,Crenshaw County
AL,01,21890,0121890,Dunnavant CDP,Shelby County
AL,01,21952,0121952,Dutton town,Jackson County
AL,01,22088,0122088,Eagle Point CDP,Shelby County
AL,01,22216,0122216,East Brewton city,Escambia County
AL,01,22504,0122504,East Point CDP,Cullman County
AL,01,22816,0122816,Eclectic town,Elmore County
AL,01,23032,0123032,Edgewater CDP,Jefferson County
AL,01,23176,0123176,Edwardsville town,Cleburne County
AL,01,23224,0123224,Egypt CDP,Etowah County
AL,01,23296,0123296,Elba city,Coffee County
AL,01,23320,0123320,Elberta town,Baldwin County
AL,01,23344,0123344,Eldridge town,Walker County
AL,01,23488,0123488,Elkmont town,Limestone County
AL,01,23656,0123656,Elmore town,Elmore County
AL,01,23872,0123872,Emelle town,Sumter County
AL,01,23880,0123880,Emerald Mountain CDP,Elmore County
AL,01,24184,0124184,Enterprise city,Coffee County~~~Dale County
AL,01,24256,0124256,Epes town,Sumter County
AL,01,24280,0124280,Equality CDP,Coosa County
AL,01,24472,0124472,Ethelsville town,Pickens County
AL,01,24568,0124568,Eufaula city,Barbour County
AL,01,24616,0124616,Eunola CDP,Geneva County
AL,01,24664,0124664,Eutaw town,Greene County
AL,01,24688,0124688,Eva town,Morgan County
AL,01,24808,0124808,Evergreen city,Conecuh County
AL,01,24880,0124880,Excel town,Monroe County
AL,01,25120,0125120,Fairfield city,Jefferson County
AL,01,25216,0125216,Fairford CDP,Washington County
AL,01,25240,0125240,Fairhope city,Baldwin County
AL,01,25384,0125384,Fairview town,Cullman County
AL,01,25648,0125648,Falkville town,Morgan County
AL,01,25816,0125816,Faunsdale town,Marengo County
AL,01,25840,0125840,Fayette city,Fayette County
AL,01,25864,0125864,Fayetteville CDP,Talladega County
AL,01,26152,0126152,Fitzpatrick CDP,Bullock County
AL,01,26200,0126200,Five Points town,Chambers County
AL,01,26824,0126824,Flomaton town,Escambia County
AL,01,26848,0126848,Florala town,Covington County
AL,01,26896,0126896,Florence city,Lauderdale County
AL,01,26992,0126992,Foley city,Baldwin County
AL,01,27088,0127088,Forestdale CDP,Jefferson County
AL,01,27376,0127376,Forkland town,Greene County
AL,01,27520,0127520,Fort Deposit town,Lowndes County
AL,01,27616,0127616,Fort Payne city,DeKalb County
AL,01,27640,0127640,Fort Rucker CDP,Dale County
AL,01,28024,0128024,Franklin town,Macon County
AL,01,28120,0128120,Fredonia CDP,Chambers County
AL,01,28312,0128312,Frisco City town,Monroe County
AL,01,28408,0128408,Fruitdale CDP,Washington County
AL,01,28432,0128432,Fruithurst town,Cleburne County
AL,01,28504,0128504,Fulton town,Clarke County
AL,01,28552,0128552,Fultondale city,Jefferson County
AL,01,28672,0128672,Fyffe town,DeKalb County
AL,01,28696,0128696,Gadsden city,Etowah County
AL,01,28768,0128768,Gainesville town,Sumter County
AL,01,28816,0128816,Gallant CDP,Etowah County
AL,01,28936,0128936,Gantt town,Covington County
AL,01,29032,0129032,Garden City town,Blount County~~~Cullman County
AL,01,29056,0129056,Gardendale city,Jefferson County
AL,01,29296,0129296,Gaylesville town,Cherokee County
AL,01,29392,0129392,Geiger town,Sumter County
AL,01,29464,0129464,Geneva city,Geneva County
AL,01,29560,0129560,Georgiana town,Butler County
AL,01,29608,0129608,Geraldine town,DeKalb County
AL,01,29704,0129704,Gilbertown town,Choctaw County
AL,01,29944,0129944,Glen Allen town,Fayette County~~~Marion County
AL,01,29992,0129992,Glencoe city,Calhoun County~~~Etowah County
AL,01,30160,0130160,Glenwood town,Crenshaw County
AL,01,30448,0130448,Goldville town,Tallapoosa County
AL,01,30496,0130496,Good Hope city,Cullman County
AL,01,30640,0130640,Goodwater town,Coosa County
AL,01,30736,0130736,Gordo town,Pickens County
AL,01,30760,0130760,Gordon town,Houston County
AL,01,30808,0130808,Gordonville town,Lowndes County
AL,01,30880,0130880,Goshen town,Pike County
AL,01,31000,0131000,Graham CDP,Randolph County
AL,01,31024,0131024,Grand Bay CDP,Mobile County
AL,01,31096,0131096,Grant town,Marshall County
AL,01,31348,0131348,Grayson Valley CDP,Jefferson County
AL,01,31384,0131384,Graysville city,Jefferson County
AL,01,31720,0131720,Greensboro city,Hale County
AL,01,31912,0131912,Greenville city,Butler County
AL,01,32056,0132056,Grimes town,Dale County
AL,01,32080,0132080,Grove Hill town,Clarke County
AL,01,32224,0132224,Guin city,Marion County
AL,01,32248,0132248,Gulfcrest CDP,Mobile County
AL,01,32272,0132272,Gulf Shores city,Baldwin County
AL,01,32416,0132416,Guntersville city,Marshall County
AL,01,32440,0132440,Gurley town,Madison County
AL,01,32536,0132536,Gu-Win town,Fayette County~~~Marion County
AL,01,32560,0132560,Hackleburg town,Marion County
AL,01,32584,0132584,Hackneyville CDP,Tallapoosa County
AL,01,32656,0132656,Haleburg town,Henry County
AL,01,32704,0132704,Haleyville city,Marion County~~~Winston County
AL,01,32848,0132848,Hamilton city,Marion County
AL,01,32896,0132896,Hammondville town,DeKalb County
AL,01,32968,0132968,Hanceville city,Cullman County
AL,01,33064,0133064,Hanover CDP,Coosa County
AL,01,33256,0133256,Harpersville town,Shelby County
AL,01,33424,0133424,Hartford city,Geneva County
AL,01,33448,0133448,Hartselle city,Morgan County
AL,01,33472,0133472,Harvest CDP,Madison County
AL,01,33544,0133544,Hatton CDP,Lawrence County
AL,01,33640,0133640,Hayden town,Blount County
AL,01,33712,0133712,Hayneville town,Lowndes County
AL,01,33808,0133808,Hazel Green CDP,Madison County
AL,01,33856,0133856,Headland city,Henry County
AL,01,33904,0133904,Heath town,Covington County
AL,01,33976,0133976,Heflin city,Cleburne County
AL,01,34024,0134024,Helena city,Jefferson County~~~Shelby County
AL,01,34096,0134096,Henagar city,DeKalb County
AL,01,34480,0134480,Highland Lake town,Blount County
AL,01,34490,0134490,Highland Lakes CDP,Shelby County
AL,01,34816,0134816,Hillsboro town,Lawrence County
AL,01,34984,0134984,Hissop CDP,Coosa County
AL,01,35130,0135130,Hobson CDP,Washington County
AL,01,35152,0135152,Hobson City town,Calhoun County
AL,01,35200,0135200,Hodges town,Franklin County
AL,01,35392,0135392,Hokes Bluff city,Etowah County
AL,01,35512,0135512,Hollins CDP,Clay County
AL,01,35536,0135536,Hollis Crossroads CDP,Cleburne County
AL,01,35560,0135560,Holly Pond town,Cullman County
AL,01,35632,0135632,Hollywood town,Jackson County
AL,01,35704,0135704,Holt CDP,Tuscaloosa County
AL,01,35752,0135752,Holtville CDP,Elmore County
AL,01,35800,0135800,Homewood city,Jefferson County
AL,01,35896,0135896,Hoover city,Jefferson County~~~Shelby County
AL,01,36088,0136088,Horn Hill town,Covington County
AL,01,36448,0136448,Hueytown city,Jefferson County
AL,01,36592,0136592,Huguley CDP,Chambers County
AL,01,37000,0137000,Huntsville city,Limestone County~~~Madison County~~~Morgan County
AL,01,37096,0137096,Hurtsboro town,Russell County
AL,01,37264,0137264,Hytop town,Jackson County
AL,01,37312,0137312,Ider town,DeKalb County
AL,01,37465,0137465,Indian Springs Village city,Shelby County
AL,01,37864,0137864,Irondale city,Jefferson County
AL,01,38032,0138032,Ivalee CDP,Etowah County
AL,01,38152,0138152,Jackson city,Clarke County
AL,01,38248,0138248,Jacksons' Gap town,Tallapoosa County
AL,01,38272,0138272,Jacksonville city,Calhoun County
AL,01,38416,0138416,Jasper city,Walker County
AL,01,38608,0138608,Jemison city,Chilton County
AL,01,39064,0139064,Joppa CDP,Cullman County~~~Marshall County
AL,01,39280,0139280,Kansas town,Walker County
AL,01,39472,0139472,Kellyton town,Coosa County
AL,01,39520,0139520,Kennedy town,Lamar County
AL,01,39784,0139784,Killen town,Lauderdale County
AL,01,39856,0139856,Kimberly city,Jefferson County
AL,01,40072,0140072,Kinsey town,Houston County
AL,01,40096,0140096,Kinston town,Coffee County
AL,01,40648,0140648,Ladonia CDP,Russell County
AL,01,40672,0140672,La Fayette city,Chambers County
AL,01,40888,0140888,Lakeview town,DeKalb County
AL,01,40928,0140928,Lake View town,Jefferson County~~~Tuscaloosa County
AL,01,41296,0141296,Lanett city,Chambers County
AL,01,41368,0141368,Langston town,Jackson County
AL,01,41968,0141968,Leeds city,Jefferson County~~~St. Clair County~~~Shelby County
AL,01,42016,0142016,Leesburg town,Cherokee County
AL,01,42160,0142160,Leighton town,Colbert County
AL,01,42304,0142304,Leroy CDP,Washington County
AL,01,42352,0142352,Lester town,Limestone County
AL,01,42472,0142472,Level Plains town,Dale County
AL,01,42640,0142640,Lexington town,Lauderdale County
AL,01,42808,0142808,Libertyville town,Covington County
AL,01,42928,0142928,Lillian CDP,Baldwin County
AL,01,43120,0143120,Lincoln city,Talladega County
AL,01,43240,0143240,Linden city,Marengo County
AL,01,43264,0143264,Lineville city,Clay County
AL,01,43336,0143336,Lipscomb city,Jefferson County
AL,01,43384,0143384,Lisman town,Choctaw County
AL,01,43648,0143648,Littleville town,Colbert County
AL,01,43720,0143720,Livingston city,Sumter County
AL,01,43744,0143744,Loachapoka town,Lee County
AL,01,43816,0143816,Lockhart town,Covington County
AL,01,43888,0143888,Locust Fork town,Blount County
AL,01,44160,0144160,Lookout Mountain CDP,Etowah County
AL,01,44344,0144344,Louisville town,Barbour County
AL,01,44536,0144536,Lowndesboro town,Lowndes County
AL,01,44608,0144608,Loxley town,Baldwin County
AL,01,44728,0144728,Luverne city,Crenshaw County
AL,01,44800,0144800,Lynn town,Winston County
AL,01,45040,0145040,McCalla CDP,Jefferson County
