destination_state,year,population,same_house,same_state,from_different_state_Total,abroad_Total,from,number_of_people
Alabama,2017,4819343,4158224,535649,111803,13667,Alabama,0
Alaska,2017,730874,595804,98168,30199,6703,Alabama,942
Arizona,2017,6935358,5717189,911120,261727,45322,Alabama,1337
Arkansas,2017,2968395,2509717,370309,79411,8958,Alabama,574
California,2017,39085984,34009331,4234770,523131,318752,Alabama,3715
Colorado,2017,5542282,4546729,734182,226933,34438,Alabama,3120
Connecticut,2017,3556297,3136666,311726,83325,24580,Alabama,206
Delaware,2017,952449,830905,78998,38532,4014,Alabama,506
District of Columbia ,2017,684810,554225,64013,56231,10341,Alabama,494
Florida,2017,20772371,17554348,2402381,566476,249166,Alabama,9389
Georgia,2017,10299497,8760762,1202587,278889,57259,Alabama,15270
Hawaii,2017,1410750,1231340,115683,46457,17270,Alabama,844
Idaho,2017,1694182,1405344,210310,71899,6629,Alabama,58
Illinois,2017,12659328,11026895,1365922,195092,71419,Alabama,1682
Indiana,2017,6591598,5633171,792487,142290,23650,Alabama,1216
Iowa,2017,3106880,2654666,362905,77072,12237,Alabama,817
Kansas,2017,2876925,2413141,366147,86154,11483,Alabama,276
Kentucky,2017,4404279,3721100,563721,103985,15473,Alabama,2851
Louisiana,2017,4629962,4030674,513676,72836,12776,Alabama,2830
Maine,2017,1322591,1140136,144186,34252,4017,Alabama,246
Maryland,2017,5988007,5168350,605885,165654,48118,Alabama,644
Massachusetts,2017,6789798,5888011,677835,146299,77653,Alabama,212
Michigan,2017,9851330,8450559,1203536,148787,48448,Alabama,3669
Minnesota,2017,5510902,4728748,643272,115623,23259,Alabama,491
Mississippi,2017,2946971,2553271,313673,73549,6478,Alabama,5936
Missouri,2017,6039877,5108238,742205,164957,24477,Alabama,2518
Montana,2017,1039170,883342,116400,35456,3972,Alabama,301
Nebraska,2017,1894217,1586729,243792,52507,11189,Alabama,420
Nevada,2017,2963456,2430163,383067,133074,17152,Alabama,191
New Hampshire,2017,1330742,1134244,137212,52893,6393,Alabama,109
New Jersey,2017,8910191,7968039,710807,152106,79239,Alabama,169
New Mexico,2017,2062628,1801560,193225,57255,10588,Alabama,770
New York,2017,19638923,17553033,1655152,285252,145486,Alabama,1849
North Carolina,2017,10158556,8649400,1139260,313834,56062,Alabama,4526
North Dakota,2017,744641,609017,92436,37315,5873,Alabama,53
Ohio,2017,11520109,9822847,1452745,198929,45588,Alabama,2487
Oklahoma,2017,3875922,3216306,542724,101961,14931,Alabama,1133
Oregon,2017,4102048,3405784,520747,149513,26004,Alabama,179
Pennsylvania,2017,12674642,11072942,1292389,250120,59191,Alabama,1416
Rhode Island,2017,1048549,922210,83440,36850,6049,Alabama,135
South Carolina,2017,4966211,4248517,531315,166573,19806,Alabama,2133
South Dakota,2017,856726,723740,99781,26106,7099,Alabama,144
Tennessee,2017,6642072,5675990,748912,191909,25261,Alabama,9523
Texas,2017,27924632,23534387,3643333,524511,222401,Alabama,10235
Utah,2017,3056193,2532858,398606,99584,25145,Alabama,644
Vermont,2017,619089,536390,57588,21868,3243,Alabama,0
Virginia,2017,8372522,7089782,958267,250490,73983,Alabama,2341
Washington,2017,7318811,6016482,978057,260787,63485,Alabama,1605
West Virginia,2017,1798306,1589833,165375,40007,3091,Alabama,239
Wisconsin,2017,5731549,4908638,687285,112519,23107,Alabama,757
Wyoming,2017,573483,481231,71338,18511,2403,Alabama,264
Puerto Rico,2017,3313519,3101332,189034,20167,2986,Alabama,888
Alabama,2018,4832358,4173026,534914,109301,15117,Alabama,0
Alaska,2018,727164,608707,81229,32099,5129,Alabama,518
Arizona,2018,7090137,5887700,888452,273714,40271,Alabama,2801
Arkansas,2018,2975961,2539294,354774,73179,8714,Alabama,438
California,2018,39114889,34232867,4092388,501023,288611,Alabama,4591
Colorado,2018,5633029,4626834,728730,239153,38312,Alabama,3597
Connecticut,2018,3538203,3102312,320248,84718,30925,Alabama,1054
Delaware,2018,958770,853523,67984,34451,2812,Alabama,39
District of Columbia ,2018,693798,568201,68603,47555,9439,Alabama,174
Florida,2018,21092877,17863603,2420485,587261,221528,Alabama,12870
Georgia,2018,10410462,8909803,1174523,274273,51863,Alabama,15589
Hawaii,2018,1403653,1211015,125172,54074,13392,Alabama,484
Idaho,2018,1734756,1438727,209540,79765,6724,Alabama,84
Illinois,2018,12599244,11029483,1295596,206620,67545,Alabama,1280
Indiana,2018,6612948,5614432,821113,145256,32147,Alabama,966
Iowa,2018,3119306,2662849,371285,74199,10973,Alabama,148
Kansas,2018,2874208,2392841,371025,95748,14594,Alabama,476
Kentucky,2018,4414714,3744188,547535,110456,12535,Alabama,2055
Louisiana,2018,4603081,4033845,474843,81355,13038,Alabama,1462
Maine,2018,1324095,1143612,142453,34706,3324,Alabama,0
Maryland,2018,5974521,5133916,630955,163216,46434,Alabama,647
Massachusetts,2018,6834364,5970065,653940,144042,66317,Alabama,483
Michigan,2018,9891083,8562101,1144840,139276,44866,Alabama,537
Minnesota,2018,5543490,4781432,635928,100270,25860,Alabama,976
Mississippi,2018,2955717,2582347,297788,68000,7582,Alabama,8401
Missouri,2018,6053109,5161553,720626,152326,18604,Alabama,2378
Montana,2018,1051757,891554,113693,43375,3135,Alabama,540
Nebraska,2018,1905843,1602056,239853,54579,9355,Alabama,268
Nevada,2018,3003761,2495398,366629,127362,14372,Alabama,397
New Hampshire,2018,1344750,1170412,119936,48367,6035,Alabama,158
