CBSA_Code|Metropolitan_Title
10180|Abilene, TX 
10420|Akron, OH 
10580|Albany-Schenectady-Troy, NY 
10740|Albuquerque, NM 
10900|Allentown-Bethlehem-Easton, PA-NJ
11100|Amarillo, TX 
11460|Ann Arbor, MI 
11540|Appleton, WI
11700|Asheville, NC 
12020|Athens-Clarke County, GA 
12060|Atlanta-Sandy Springs-Roswell, GA 
12100|Atlantic City-Hammonton, NJ
12220|Auburn-Opelika, AL 
12260|Augusta-Richmond County, GA-SC
12420|Austin-Round Rock, TX 
12540|Bakersfield, CA
12580|Baltimore-Columbia-Towson, MD 
12620|Bangor, ME 
12700|Barnstable, MA
12940|Baton Rouge, LA 
12980|Battle Creek, MI
13140|Beaumont-Port Arthur, TX
13460|Bend-Redmond, OR
13740|Billings, MT 
13780|Binghamton, NY 
13820|Birmingham-Hoover, AL 
13980|Blacksburg—Christiansburg-Radford, VA 
14010|Bloomington, IL 
14020|Bloomington, IN 
14260|Boise City, ID
14460|Boston-Cambridge-Newton, MA-NH
14500|Boulder, CO 
14540|Bowling Green, KY
14860|Bridgeport-Stamford-Norwalk, CT 
15180|Brownsville-Harlingen, TX 
15380|Buffalo-Cheektowaga-Niagara Falls, NY
15500|Burlington, NC 
15540|Burlington-South Burlington, VT 
15680|California-Lexington Park, MD 
